Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232938-8656 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232938-2399 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232938-2785 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232938-9688 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232938-3990 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232938-3640 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232938-2161 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232938-1682 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232938-1296 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232938-7347 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232938-3437 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232938-8486 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232938-4120 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232938-1523 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232938-8525 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232938-0043 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232939-8055 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232939-9544 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232939-8422 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232939-1973 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232939-9391 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232939-6330 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232939-9004 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232939-7097 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232939-1103 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232939-7600 | Type=notification
